label,:label_DE:,:Definition_DE:,:Definition:,:Unit:,:Default:,:Type:,:Category:,:Restrictions:,internal_categorization,tooltip,Source/related requirements,Ease of oemof implementation,ref,Rational
Costs for CO2 emission,Emissionskosten CO2,Errechnete Emissionskosten für CO2-Zertifikate (aktuell und prognostiziert) aus Eingabewerten,Calculated costs for CO2 emission certificates (current and future) from inputs,EUR,None,float,Financial,,,,"OP_IN_14, OP_IN_15",,,
LCOE,Stromgestehungskosten,Stromgestehungskosten,Levelized costs of energy,EUR,None,float,Financial,0 or above,,,"OP_IN_01, OP_IN_29",,,
Emissions CO2eq,Emissionen CO2-äquivalent,Emissionen CO2-äquivalente pro kWh ,"Emissions of CO2eq  (gCO2eq/kWh, TCO2eq emitted)",T of CO2eq,None,float,Environmental,0 or above,,,OP_IN_29,,,
Relative emissions CO2eq,Relative Emissionen CO2-äquivalent,Emissionen CO2-äquivalente im Vergleich zu einem anderen Szenario (% Emissionsreduktion relativ zu weiterem Szenario),Emissions of CO2eq relative to another scenario (% reduced emissions compared to another scenario. E.g: BAU),Percentage,None,float,Environmental,0 or above,,,,,,
Investment needed,Investitionskosten,Gesamtkosten des Investitionsbedarfs,Total investment needed,EUR,None,float,Financial,0 or above,,,OP_IN_29,,,
Degree of sector-coupling,Grad der Sektorenkopplung,"Ein Synergieindex, welcher aus dem Autarkiegrad errechne wird und in einer Publikation des RLI veröffentlicht wurde",A synergy index of the energy system expressed via the DOA defined in a publication of RLI,factor,None,float,KPI,between 0 and 1,,,,,,
Degree of Autonomy (DA),Autarkiegrad,"Erreichter Autarkiegrad, üblicherweise ein Wert zwischen 0 und 1","Degree of Autonomy or self sufficiency obtained, typically a number between 0 and 1",factor,None,float,KPI,between 0 and 1,,,,,,
Transformation pathway,Transformationspfad,"Berechtige den Nutzenden einen Transformationspfad abzubilden unter Berücksichtigung der Ergebnisse anderer Simulationen. Der Ausbaupfad sollte nicht per se Ergebnis aus der Simulation sein, da er von politischen und sozialen Faktoren abhängt",Enable the user to carry out this analysis on how to get from current situation to future situation from the other outputs. The pathway itself shall not be output by the simulation as it depends on policies and human political decisions as well,None,,,Report,,hidden,,"OP_IN_08, OP_OUT_05",,,
Scenarios comparisons,Szenariovergleich,"Vergleich mehrerer Szenarien oder Verteilungen des Energiemixes (vergleichbar mit RLI-StempTools), z.B. Vergleich von Kosten-, Emissions-, Energieeinsparungen","Comparison of different energy systems  and energy mixs (like RLI stemp-mv tool). Could compare energy savings, costs savings, CO2 savings",None,,,Report,,,,,,,
Energy mix,Energiemix,"Prozentualer Anteil jedes Energieerzeugers pro Energiesektor (z.B. Strom, Wärme, Gas)",Percentage of each asset for each energy type.,Percentage,None,matrix,Technical,,,,,,,
Renewable energy share,EE-Anteil,Prozentualer Anteil der erzeugten Energie aus regenerativen Energiequellen(EE) ,The share of renewable energy produced in the output energy mix,Percentage,None,matrix,Technical,,,,,,,
Wasted energy,Überschussenergie,"Energie, welche nicht gespeichert oder durch den Joule-Effekt (Heizen) verloren gegangen ist, z.B. Verluste in Heizkesseln","Energy which could not be stored, or was lost in Joule effect (heating), i.e. losses in heat boilers",kW,None,matrix,Technical,,hidden,,,,,
Installed  capacity,Installierte Kapazität,"Minimale Kapazität, die installiert werden muss, um die Lastspitzen zu decken",The minimal capacity that needs to be installed in order to meet peak demand,kW,None,float,Technical,,,,,,,
Installed power,Installierte Leistung,Die aggregierte Leistung die bereitgestellt werden muss um die Last zu decken,The aggregated power that needs to be produced in order to meet demand,kWh,None,float,Technical,,,,,,,
Calculate network requirements or expansion possibilities,Netzausbaubedarf,Errechnete Anforderungen an den Netzausbau,Calculate network requirements or expansion possibilities,None,,,Report,,hidden,,DSO perspective,,,
Grid equipment requirements,Ausbaubedarf für Netzkomponenten,Anzahl benötigter zusätzlicher Trafos,Number of new transformers (v2.0 of the tool),,None,init,Technical,,hidden,,,,,
Grid cable requirements,Ausbaubedarf für Leitungen,Länge und Abmaß zusätzlich benötigter Leitungen,length and size of new cables required (v2.0 of the tool),km,None,array,Technical,,hidden,,,,,
Available generation technologies,Verfügbare Erzeugertechnologien,"Liste an verfügbaren Erzeugertechnologien, welche die Last decken könnten, ohne das maximale Investitionsbudget zu überziehen",List of existing technologies which could fulfill the capacity without exceeding the costs,None,,array,Report,,,,,,,
Required storage,Speicherbedarf,Benötigter Speicherbedarf zum Ausgleich von Lastspitzen pro Speichertechnologie,Required size to sustain peak demands for each storage technology (only if storage is part of input),kW,None,array,Technical,,hidden,,Christian Wild case,,,
Connection points,Verbindungsstationen,Verbindungsstationen mit existierender Versorgungsinfrastruktur (Gas/Strom/Wasser/Abwasser),Transfer interfaces with existing supply structures (gas/electricity/water/wastewater),None,,,Report,,hidden,,Christian Wild case,,,
Amortisation period of system improvements,Amortisationszeit,"Zeit, die benötigt wird damit die Investitionen wirtschaftlich werden",How many months/years should one wait to get back the money invested in the components/assets,Time,None,int,Financial,0 or above,,,"OP_IN_05, OP_IN_06, OP_IN_08",,,
List of support programmes,Liste von Finanzierungsprogrammen,"Liste von Finanzierungs-/Unterstützungeprogrammen (z.B. von Regierungen, NGOs, Banken)","List of support programmes (government, NGO, World Bank) which criteria are fulfilled by the output energy system",None,,,Report,,hidden,,Planer perspective,,,
