;unit;PV_Halle 18;PV_Wasser;PV_Frei;Wind_Karholz;Wind_Winnberg 03;Wind_Winnberg 04
unit;str;kWp;kWp;kWp;kW;kW;kW
optimizeCap;bool;False;True;True;False;False;False
maximumCap;None or float;None;100000;100000;None;None;None
installedCap;kWp;780;0;0;3000;3400;3200
age_installed;year;2;0;0;2;2;2
lifetime;year;30;25;25;30;30;30
development_costs;currency;0;0;0;0;0;0
specific_costs;currency/unit;800;900;600;1150;1150;1150
specific_costs_om;currency/unit/year;20;22.50;15;0;0;0
dispatch_price;currency/kWh;0;0;0;0;0;0
outflow_direction;str;DC bus 18;DC bus wasser;DC bus frei;wind bus karholz;wind bus winnberg 03;wind bus winnberg 04
file_name;str;pv_Halle18.csv;pv_Feedinlib.csv;pv_Feedinlib.csv;wind_Karholz.csv;wind_Winnberg03.csv;wind_Winnberg04.csv
energyVector;str;Electricity;Electricity;Electricity;Electricity;Electricity;Electricity
renewableAsset;bool;True;True;True;True;True;True
emission_factor;kgCO2eq/unit;0;0;0;0;0;0
type_oemof;str;source;source;source;source;source;source
